taxon_oid	Domain	Status	Genome Name	Taxon Object ID	NCBI Taxon ID	RefSeq Project ID	GenBank Project ID	Phylum	Class	Order	Family	Genus	Species	Strain	Sequencing Center	Funding Agency	Add Date	Is Public	Release Date	IMG Release	IMG Product Assignment	IMG Submission ID	Proposal GOLD ID	Proposal Name	Biotic Relationships	Body Site	Body Subsite	Cell Arrangement	Cell Shape	Diseases	Energy Source	Ecosystem	Ecosystem Category	Ecosystem Type	Ecosystem Subtype	Isolation	Specific Ecosystem	Gram Staining	Host Name	Host Gender	Motility	Metabolism	Oxygen Requirement	Phenotype	Relevance	Salinity	Sporulation	Temperature Range	IMG Sample ID	IMG Project ID	Contact Name	Contact Email	Funding Program	Scaffold Count	CRISPR Count	GC Count	GC %	Coding Base Count	Genome Size	Gene Count	CDS Count	CDS %	RNA Count	rRNA Count	5S rRNA Count	16S rRNA Count	18S rRNA Count	23S rRNA Count	28S rRNA Count	tRNA Count	Other RNA Count	Fused Count	Fused %	Fusion Component Count	Fusion component %	Pseudo Genes Count	Pseudo Genes %	Unchar Count	Unchar %	Obsolete Count	Obsolete %	Revised Count	Revised %	w/ Func Pred Count	w/ Func Pred %	w/o Func Pred Sim Count	w/o Func Pred Sim %	w/o Func Pred No Sim Count	w/o Func Pred No Sim %	Signal Peptide Count	Signal Peptide %	Transmembrane Count	Transmembrane %	Orthologs Count	Orthologs %`	Paralogs Count	Paralogs %	Ortholog Group Count	Paralog Group Count	SwissProt Count	SwissProt %	Not SwissProt Count	Not SwissProt %	SEED Count	SEED %	Not SEED Count	Not SEED %	COG Count	COG %	KOG Count	KOG %	Pfam Count	Pfam %	TIGRfam Count	TIGRfam %	COG Cluster Count	KOG Cluster Count	Pfam Cluster Count	TIGRfam Cluster Count	InterPro Count	InterPro %	Enzyme Count	Enzyme %	TC Count	TC %	KEGG Count	KEGG %	Not KEGG Count	Not KEGG %	KO Count	KO %	Not KO Count	Not KO %	MetaCyc Count	MetaCyc %	Not MetaCyc Count	Not MetaCyc %	IMG Term Count	IMG Term %	IMG Pathwawy Count	IMG Pathway %	IMG Parts List Count	IMG Parts List %	Chromosomal Cassette Gene Count	Chromosomal Cassette Gene %	Chromosomal Cassette Count
650716001	Archaea	Finished	Acidianus hospitalis W1	650716001	933801	66875	60875	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	hospitalis	W1	Univ of Copenhagen		2011-08-22	Yes	2011-12-01	IMG/W 3.5			Gc01762	Acidianus hospitalis W1	Free living	_	_	_	_	None	Lithotroph	_	_	_	_	_	_	Gram-	_	_	Nonmotile	Iron oxidizer	Facultative	Acidophile	Bioleaching,  Biotechnological	_	_	Thermophile	_	18437	Garrett,R.A.	_	_	1	6	729969	0.34	1867284	2137654	2404	2329	96.88	75	3	1	1		1		46	26	24	1											1551	64.52	685	28.49	93	3.87	409	17.01	456	18.97	2041	84.9	130	5.41	2019				2329	96.88			2329	96.88	1616	67.22	791	32.9	1617	67.26	515	21.42	1047	546	997	456	2056	85.52	520	21.63			577	24	1752	72.88	986	41.01	1343	55.87	501	20.84	1828	76.04	375	15.6	151	6.28	123	5.12			
648028003	Archaea	Finished	Acidilobus saccharovorans 345-15	648028003	666510	51395	39927	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	saccharovorans	345-15	Center of Bioengineering		2010-10-29	Yes	2011-01-01	IMG/W 3.3			Gc01364	Acidilobus saccharovorans 345-15	Free living	_	_	_	Coccus-shaped	None	_	_	_	_	_	solfataric field of Uzon caldera of Kamchatka Peninsula	_	Gram-	_	_	Nonmotile	_	Anaerobe	Acidophile	Biotechnological	_	_	Hyperthermophile	_	13795	Bonch-Osmolovskaya EA	elizaveta.bo@gmail.com	_	1	7	856231	0.57	1356593	1496453	1547	1499	96.9	48	3	1	1		1		45		65	4.2	445	28.77							2		981	63.41	438	28.31	80	5.17	375	24.24	326	21.07	1258	81.32	107	6.92	1246	49			1499	96.9			1499	96.9	1089	70.39	605	39.11	1106	71.49	359	23.21	811	458	838	345	1204	77.83	421	27.21			498	32.19	1001	64.71	797	51.52	702	45.38	407	26.31	1092	70.59	374	24.18	125	8.08	140	9.05	1545	99.87	64
647533100	Archaea	Draft	Aciduliprofundum boonei T469	647533100	439481	54657	19277	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Aciduloprofundaceae	Aciduliprofundum	boonei	T469	J. Craig Venter Institute		2010-06-24	Yes	2010-08-01	IMG/W 3.2			Gi01447	Aciduliprofundum boonei T469	Free living	_	_	_	Coccus-shaped	None	Chemolithoautotroph	_	_	_	_	Hydrothermally heated black smoker wall at the TAG site at the Mid Atlantic Ridge depth 3650m	_	Gram-	_	_	Motile	_	Facultative	Acidophile	Environmental,  Marine Microbial Initiative (MMI)	_	_	Thermophile	_	11190	Reysenbach AL	_	_	41	3	1163713	0.39	2667467	2981805	3043	2949	96.91	94	6	2	1		3		88		180	5.92			2	0.07					5		1868	61.39	991	32.57	90	2.96	264	8.68	687	22.58	2765	90.86	2634	86.56	2584	1223			2949	96.91			2949	96.91	2168	71.25	1164	38.25	2209	72.59	884	29.05	850	468	891	444	2399	78.84	793	26.06			887	29.15	2062	67.76	1531	50.31	1418	46.6	757	24.88	2192	72.03	679	22.31	235	7.72	254	8.35	3036	99.77	269
646564501	Archaea	Finished	Aciduliprofundum boonei T469	646564501	439481	43333	38403	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Aciduloprofundaceae	Aciduliprofundum	boonei	T469	DOE Joint Genome Institute		2010-06-24	Yes	2010-08-01	IMG/W 3.2			Gc01221	CSP_300154_796307	Free living	_	_	_	Coccus-shaped	None	Chemolithoautotroph	_	_	_	_	Hydrothermally heated black smoker wall at the TAG site at the Mid Atlantic Ridge depth 3650m	_	Gram-	_	_	Motile	_	Facultative	Acidophile	Environmental	_	_	Thermophile	_	14968	Reysenbach, Anna-Louise 	reysenbacha@pdx.edu	DOE-CSP 2009	1	2	582192	0.39	1411906	1486778	1587	1550	97.67	37	3	1	1		1		32	2	94	5.92	546	34.4	6	0.38							1106	69.69	425	26.78	19	1.2	144	9.07	357	22.5	1476	93.01	124	7.81	1470	51	2	0.13	1548	97.54			1550	97.67	1166	73.47	628	39.57	1196	75.36	482	30.37	879	473	920	456	1294	81.54	424	26.72			494	31.13	1056	66.54	830	52.3	720	45.37	406	25.58	1144	72.09	411	25.9	127	8	162	10.21	1581	99.62	29
638154501	Archaea	Finished	Aeropyrum pernix K1	638154501	272557	57757	211	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	pernix	K1	National Institute of Technology and Evaluation (NITE)	NITE	2006-10-02	Yes	2006-12-01	IMG/W 2.0			Gc00022	Aeropyrum pernix K1	Free living	_	_	_	Sphere-shaped	None	Chemolithoautotroph,  Heterotroph	_	_	_	_	Coastal solfataric thermal vent at Kodakara-Jima Island in Japan in 1993	_	Gram-	_	_	Motile	_	Aerobe	_	Biotechnological	_	_	Hyperthermophile	_	10664	Kawarabayasi Y	mailto:kawarabayasi.yutaka@aist.go.jp	_	1	3	940227	0.56	1478500	1669695	2820	2763	97.98	57	5	2	1		1		50	2	91	3.23	590	20.92	24	0.85			19	1	1578	56	35	1.24	2630	93.26	98	3.48	393	13.94	464	16.45	1352	47.94	110	3.9	1346	46	51	1.81	2712	96.17	529	18.76	2234	79.22	1232	43.69	646	22.91	1238	43.9	411	14.57	952	485	915	403	2296	81.42	468	16.6			570	20.21	2193	77.77	939	33.3	1824	64.68	450	15.96	2313	82.02	494	17.52	167	5.92	164	5.82	1708	60.57	131
638154502	Archaea	Finished	Archaeoglobus fulgidus VC-16, DSM 4304	638154502	224325	57717	104	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	fulgidus	DSM 4304	J. Craig Venter Institute	DOE	2006-10-02	Yes	2006-12-01	IMG/W 2.0			Gc00011	Archaeoglobus fulgidus VC-16, DSM 4304	Free living	_	_	_	_	None	Chemolithoautotroph	_	_	_	_	Geothermally heated sea floor at Vulcano Island Italy	_	Gram-	_	_	Motile	Sulfate reducer	Obligate anaerobe	Piezophile,  Potential Pathogen	Biotechnological	_	_	Hyperthermophile	_	10675	TIGR	gaf@tigr.org	_	1	3	1058303	0.49	1995436	2178400	2519	2468	97.98	51	3	1	1		1		46	2	171	6.79	1001	39.74	71	2.82			48	2	292	12	1798	71.38	666	26.44	4	0.16	272	10.8	488	19.37	2149	85.31	431	17.11	2077	165	332	13.18	2136	84.8	1735	68.88	733	29.1	1918	76.14	854	33.9	1924	76.38	708	28.11	1260	549	1175	613	2153	85.47	667	26.48			757	30.05	1711	67.92	1373	54.51	1095	43.47	631	25.05	1837	72.93	703	27.91	236	9.37	237	9.41	2406	95.51	111
646311906	Archaea	Finished	Archaeoglobus profundus DSM 5631	646311906	572546	43493	32583	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	profundus	DSM 5631	DOE Joint Genome Institute		2010-02-26	Yes	2010-04-01	IMG/W 3.1			Gc01188	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Free living	_	_	Pairs,  Singles	Coccus-shaped	None	Chemolithoautotroph	_	_	_	_	Deep sea hydrothermal vents; Mexico, Gulf of California, Guaymas Basin	_	Gram-	_	_	Nonmotile	_	Anaerobe	_	Biotechnological,  GEBA,  Tree of Life	_	Nonsporulating	Hyperthermophile	_	13489	Eisen, Jonathan 	jaeisen@ucdavis.edu	DOE-GEBA 2007	2		656709	0.42	1443322	1563423	1911	1858	97.23	53	3	1	1		1		47	3	121	6.33	647	33.86	35	1.83							1109	58.03	747	39.09	2	0.1	141	7.38	328	17.16	1476	77.24	167	8.74	1464	74	11	0.58	1847	96.65			1858	97.23	1267	66.3	607	31.76	1300	68.03	532	27.84	992	474	1028	509	1426	74.62	469	24.54			550	28.78	1308	68.45	960	50.24	898	46.99	449	23.5	1409	73.73	487	25.48	171	8.95	161	8.42	1876	98.17	78
641228483	Archaea	Finished	Caldivirga maquilingensis IC-167	641228483	397948	58711	17421	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	maquilingensis	IC-167	DOE Joint Genome Institute		2008-02-07	Yes	2008-03-01	IMG/W 2.5			Gc00674	Caldivirga maquilingensis IC-167	Free living	_	_	Singles	Rod-shaped	None	Heterotroph	_	_	_	_	Acidic hot spring in the Philippines	_	Gram-	_	_	Nonmotile	_	Aerobe	_	Biotechnological	_	Nonsporulating	Hyperthermophile	_	10011	Lowe, Todd 	lowe@soe.ucsc.edu	DOE-CSP 2006	1	7	895345	0.43	1813334	2077567	2011	1963	97.61	48	3	1	1		1		45		88	4.38	648	32.22	3	0.15							1225	60.91	722	35.9	16	0.8	178	8.85	460	22.87	1689	83.99	203	10.09	1674	83	103	5.12	1860	92.49	1963	97.61			1403	69.77	791	39.33	1463	72.75	452	22.48	969	536	988	427	1584	78.77	546	27.15			624	31.03	1339	66.58	958	47.64	1005	49.98	529	26.31	1434	71.31	511	25.41	212	10.54	165	8.2	2008	99.85	164
641522611	Archaea	Finished	Candidatus Korarchaeum cryptofilum OPF8	641522611	374847	58601	16525	Crenarchaeota	Korarchaeota	Korarchaeales	Korarchaeaceae	Candidatus Korarchaeum	cryptofilum	cryptofilum OPF8	DOE Joint Genome Institute		2008-05-30	Yes	2008-08-01	IMG/W 2.6			Gc00747	Candidatus Korarchaeum cryptofilum OPF8	Free living	_	_	_	_	None	_	_	_	_	_	Enriched cells originate from Obsidian Pool, Yellowstone National Park, Wyoming, USA,	_	Gram-	_	_	_	_	_	_	Evolutionary	_	_	Mesophile	_	11650	Elkins J	jelkins@ucsd.edu	_	1	4	779482	0.49	1432907	1590757	1661	1612	97.05	49	3	1	1		1		46		78	4.7	572	34.44	10	0.6					1		1202	72.37	399	24.02	11	0.66	146	8.79	339	20.41	1376	82.84	168	10.11	1361	67	67	4.03	1545	93.02	1601	96.39	11	0.66	1212	72.97	623	37.51	1237	74.47	450	27.09	886	477	885	414	1352	81.4	439	26.43			543	32.69	1069	64.36	916	55.15	696	41.9	421	25.35	1191	71.7	482	29.02	144	8.67	168	10.11	1650	99.34	102
640753014	Archaea	Finished	Candidatus Methanoregula boonei 6A8	640753014	456442	58815	18505	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	boonei	boonei 6A8	DOE Joint Genome Institute	DOE	2007-10-09	Yes	2007-12-01	IMG/W 2.4			Gc00629	Acidic Peat Bog methanogen	Free living	_	_	Singles	Rod-shaped	None	Lithotroph	_	_	_	_	Acidic peat bog in New York State	_	Gram-	_	_	_	Methanogen	Anaerobe	Acidophile	Biotechnological,  Energy production	_	_	Mesophile	_	10056	Zinder, Stephen 	shz1@cornell.edu	DOEM 2006	1		1386250	0.55	2194392	2542943	2518	2464	97.86	54	3	1	1		1		48	3	163	6.47	974	38.68	18	0.71							1617	64.22	807	32.05	40	1.59	319	12.67	634	25.18	2103	83.52	424	16.84	2040	177	175	6.95	2289	90.91	2450	97.3	14	0.56	1780	70.69	816	32.41	1845	73.27	745	29.59	1167	534	1177	621	2000	79.43	599	23.79			710	28.2	1754	69.66	1149	45.63	1315	52.22	579	22.99	1885	74.86	601	23.87	208	8.26	199	7.9	2500	99.29	257
